drop_white,drop_black,drop_red,drop_yellow,drop_blue,total_drops,band,skin_zone,R,G,B,L,a,b
0,0,0,0,2,2,2,0,0,0,255,32.3,79.19,-107.86
0,0,2,0,0,2,2,0,255,0,0,53.24,80.09,67.2
0,0,0,2,0,2,2,0,255,255,0,97.14,-21.55,94.48
2,0,0,0,0,2,2,0,255,255,255,100.0,-0.0,0.0
0,2,0,1,0,3,3,0,56,82,10,31.57,-21.49,35.5
2,1,1,0,0,4,4,0,196,108,119,55.88,36.02,9.52
0,0,0,2,3,5,5,0,59,125,123,48.29,-21.43,-5.35
1,0,5,0,0,6,6,0,255,34,49,54.69,77.25,50.06
0,6,0,0,1,7,7,0,3,1,29,1.17,6.01,-14.56
0,6,0,1,0,7,7,0,22,34,4,11.44,-11.52,15.12
0,4,2,1,0,7,7,0,95,36,5,22.68,25.25,30.86
4,0,2,1,0,7,7,0,255,162,131,75.29,31.23,30.51
0,1,7,0,0,8,8,0,218,5,0,45.66,70.72,59.75
0,5,2,0,2,9,9,0,51,3,47,8.78,29.17,-16.15
0,5,4,0,0,9,9,0,102,8,0,20.04,38.83,30.47
0,4,5,0,0,9,9,0,131,9,0,26.8,47.23,39.46
5,2,1,0,1,9,9,0,165,127,164,57.9,21.15,-14.05
3,0,0,4,3,10,10,0,149,202,121,76.08,-31.91,35.0
4,2,0,4,0,10,10,0,196,211,77,81.22,-22.52,62.33
6,0,2,2,0,10,10,0,255,188,133,81.25,17.83,37.22
7,0,1,2,0,10,10,0,255,220,155,89.31,3.47,36.42
0,8,0,0,3,11,11,0,5,1,58,3.25,20.29,-33.45
0,5,3,3,0,11,11,0,123,64,10,33.78,21.94,40.31
5,5,0,1,0,11,11,1,134,139,108,56.7,-7.44,16.01
1,3,1,6,0,11,11,0,169,159,28,64.42,-10.13,62.53
3,0,3,1,5,12,12,0,136,75,152,42.05,38.68,-31.7
2,0,9,0,1,12,12,0,234,36,61,50.8,71.84,38.08
4,3,0,2,3,12,12,0,109,139,134,55.52,-11.67,-0.81
7,2,1,1,1,12,12,1,185,163,156,68.69,6.85,6.58
7,3,0,2,0,12,12,0,186,194,131,76.47,-12.87,30.83
2,0,0,2,9,13,13,0,51,96,204,43.4,22.57,-60.49
0,0,0,9,4,13,13,0,126,193,62,71.5,-42.33,56.77
0,0,2,11,0,13,13,0,255,201,18,83.49,5.38,82.91
1,5,3,5,0,14,14,0,152,102,25,47.3,13.63,47.97
3,5,0,5,1,14,14,0,126,156,59,60.36,-25.53,46.11
7,1,1,2,3,14,14,1,168,165,164,67.96,0.89,0.9
6,0,1,3,4,14,14,1,163,171,158,69.03,-5.27,5.72
0,0,1,13,0,14,14,0,255,229,10,90.47,-8.86,88.86
0,0,0,13,1,14,14,0,218,241,16,90.71,-29.95,87.22
9,0,1,4,0,14,14,0,255,230,136,91.52,-3.51,48.69
12,0,1,1,0,14,14,0,255,229,205,92.45,5.19,14.95
13,0,0,1,0,14,14,0,255,255,227,99.35,-4.64,13.4
0,6,0,2,7,15,15,0,23,40,100,18.45,16.44,-37.49
4,0,6,0,5,15,15,0,164,50,137,41.19,55.61,-23.66
1,6,1,5,2,15,15,0,95,105,45,42.35,-13.54,31.97
7,0,3,0,5,15,15,0,158,99,197,52.09,41.71,-42.08
0,6,1,8,0,15,15,0,125,131,16,52.54,-15.58,54.02
2,0,2,5,6,15,15,1,126,128,110,52.95,-4.14,9.53
7,2,2,3,1,15,15,1,200,164,116,69.54,6.78,29.87
11,0,2,0,2,15,15,0,215,171,213,75.06,23.12,-15.11
1,5,7,0,3,16,16,0,119,17,52,25.48,44.18,6.81
1,2,3,3,7,16,16,0,92,66,107,32.33,19.7,-19.57
0,9,0,7,0,16,16,0,78,109,13,42.13,-25.38,44.52
7,0,2,0,7,16,16,0,125,97,225,49.91,41.8,-61.7
4,1,3,5,3,16,16,1,179,142,91,61.38,7.46,32.38
4,0,3,5,4,16,16,1,176,143,103,61.53,6.92,25.97
1,8,0,3,5,17,17,0,43,67,77,26.91,-6.23,-8.96
8,1,0,0,8,17,17,0,92,117,255,54.25,33.08,-71.55
0,7,0,10,0,17,17,0,115,148,15,56.94,-28.61,57.57
8,0,7,2,0,17,17,0,255,128,113,67.94,46.96,30.67
9,1,1,3,3,17,17,1,182,183,159,73.75,-4.56,12.11
0,0,4,13,0,17,17,0,255,175,24,77.28,18.95,77.36
2,5,0,0,11,18,18,0,24,29,182,25.1,52.87,-77.68
2,10,2,3,1,18,18,0,88,70,39,30.88,3.24,21.47
3,7,1,2,5,18,18,0,73,74,102,32.42,6.64,-16.42
0,5,0,8,5,18,18,0,73,123,60,46.85,-29.9,29.08
6,5,4,2,1,18,18,1,169,103,88,50.5,24.82,19.69
5,1,1,3,8,18,18,0,104,123,167,51.72,4.32,-25.7
5,1,3,4,5,18,18,1,155,127,119,55.56,9.47,8.4
7,0,4,4,3,18,18,1,206,147,119,66.0,18.79,23.66
12,0,1,0,5,18,18,0,165,160,244,69.23,20.6,-41.36
5,0,6,7,0,18,18,0,255,149,68,71.68,33.72,57.99
13,3,1,0,1,18,18,0,193,173,194,72.97,10.97,-8.05
15,0,1,0,2,18,18,0,218,204,238,84.1,11.14,-14.97
0,14,2,3,0,19,19,0,51,38,5,16.01,2.02,21.32
0,4,5,0,10,19,19,0,62,0,117,17.03,47.41,-50.74
1,11,1,4,2,19,19,0,63,68,37,27.64,-7.88,18.07
0,8,7,4,0,19,19,0,135,49,8,32.63,35.05,41.06
3,1,0,2,13,19,19,0,45,79,208,39.07,34.36,-69.85
3,6,6,3,1,19,19,0,156,73,48,41.29,32.69,30.96
1,2,5,6,5,19,19,1,140,92,67,43.71,16.73,22.38
2,0,5,6,6,19,19,1,155,106,88,49.48,17.31,18.01
0,4,5,10,0,19,19,0,193,120,21,56.91,21.76,59.31
10,0,2,0,7,19,19,0,142,120,230,56.97,33.84,-53.11
10,4,1,3,1,19,19,1,182,173,130,70.49,-3.59,23.31
15,0,3,1,0,19,19,0,255,200,187,85.08,17.71,13.99
17,0,2,0,0,19,19,0,255,217,221,89.91,13.81,2.95
1,12,1,2,4,20,20,0,42,40,55,16.92,4.85,-9.33
1,2,12,0,5,20,20,0,154,15,60,33.01,54.79,12.99
0,3,3,6,8,20,20,0,87,81,83,35.07,2.87,-0.29
3,2,9,1,5,20,20,0,158,43,87,37.27,50.33,1.6
4,3,5,5,3,20,20,1,169,109,75,51.7,20.21,28.73
6,5,3,4,2,20,20,1,158,124,87,54.42,8.17,25.21
10,5,4,1,0,20,20,1,194,124,117,59.13,26.39,15.19
6,0,11,3,0,20,20,0,255,94,79,61.51,60.32,41.36
6,1,7,5,1,20,20,0,233,124,80,63.61,38.49,42.44
13,4,1,2,0,20,20,1,202,185,151,75.76,0.71,19.48
13,3,2,2,0,20,20,1,217,181,150,76.07,8.5,20.66
0,0,0,17,3,20,20,0,183,225,32,83.98,-36.35,78.49
10,0,2,8,0,20,20,0,255,220,100,88.62,-1.3,62.01
0,15,4,0,2,21,21,0,43,4,20,5.88,21.0,-0.24
0,14,3,2,2,21,21,0,49,25,22,12.0,11.57,7.28
1,11,2,1,6,21,21,0,44,25,74,13.97,21.89,-27.17
0,8,8,0,5,21,21,0,87,5,48,17.22,37.94,-3.2
0,16,0,5,0,21,21,0,38,58,7,21.78,-17.15,26.91
0,3,1,0,17,21,21,0,15,0,196,23.95,65.06,-87.91
0,13,2,6,0,21,21,0,74,69,10,28.73,-5.37,33.5
7,3,3,0,8,21,21,0,110,72,178,39.85,39.75,-50.87
2,4,13,2,0,21,21,0,207,41,27,45.54,62.29,49.17
2,2,5,7,5,21,21,1,151,108,71,49.2,12.64,27.37
6,2,7,4,2,21,21,0,206,108,84,56.58,36.52,30.85
8,2,3,4,4,21,21,1,171,143,125,61.47,7.72,13.51
6,2,2,6,5,21,21,1,152,152,110,61.88,-7.02,22.18
2,0,0,10,9,21,21,0,103,171,104,64.17,-35.54,27.9
7,0,0,5,9,21,21,0,115,168,173,65.49,-16.14,-8.16
9,0,4,4,4,21,21,1,198,151,135,66.44,15.36,15.24
12,7,0,2,0,21,21,1,164,169,135,68.03,-7.73,16.99
14,2,2,2,1,21,21,1,216,185,166,77.31,8.17,13.75
0,0,13,0,9,22,22,0,135,5,82,29.08,53.48,-7.76
4,3,5,0,10,22,22,0,96,35,152,29.3,49.07,-52.42
1,3,0,5,13,22,22,0,44,86,139,36.09,3.59,-33.78
7,8,6,0,1,22,22,0,153,67,86,40.35,37.87,6.53
7,0,4,0,11,22,22,0,113,65,205,40.73,51.45,-65.2
4,5,7,3,3,22,22,0,156,74,70,41.86,33.78,18.59
9,6,3,0,4,22,22,0,134,91,145,45.07,27.46,-22.81
6,0,8,2,6,22,22,0,178,79,121,47.55,44.77,-4.06
0,2,9,8,3,22,22,0,185,83,39,47.82,38.61,44.12
7,6,8,1,0,22,22,0,190,77,75,47.96,45.34,24.58
0,4,10,8,0,22,22,0,207,78,18,50.41,48.69,56.25
4,7,2,7,2,22,22,0,135,130,58,53.41,-8.17,38.98
9,6,2,2,3,22,22,1,143,123,127,53.53,8.4,0.67
3,1,3,8,7,22,22,1,137,134,93,55.24,-5.66,22.54
8,2,2,4,6,22,22,1,146,143,142,59.62,0.91,0.92
0,2,0,13,7,22,22,0,102,165,66,61.76,-38.2,44.09
6,1,3,7,5,22,22,1,169,154,103,63.78,-2.05,28.79
0,1,7,14,0,22,22,0,252,141,27,69.35,35.4,70.63
11,1,4,4,2,22,22,1,218,163,129,71.34,16.02,25.59
