user_id,target_r,target_g,target_b,achieved_r,achieved_g,achieved_b,tL,ta,tb,aL,aa,ab,tC,aC,delta_e_stored,delta_e_recon,skip_perception,mixing_model
J4W7CV,182,137,96,222,114,83,60.5002426068222,12.003412404228364,28.595362094242006,60.0618172969059,39.53065626385693,36.22254881801147,31.012523964469516,53.61665625087446,1.5991611700309365,14.751664855917536,unacceptable,spectral
WQC2HV,102,66,103,104,30,97,33.35183632842266,22.336384539983793,-15.366642317958224,25.96668520308007,41.21070278103489,-22.953712630418487,27.111764428861715,47.171972051490805,9.651321671752513,9.651321671752513,,
WQC2HV,102,66,103,111,76,109,33.35183632842266,22.336384539983793,-15.366642317958224,37.21209306863301,20.771479247152,-13.138933079480752,27.111764428861715,24.578159259430716,3.461838845848993,3.461838845848993,unacceptable,
WQC2HV,102,66,103,107,64,104,33.35183632842266,22.336384539983793,-15.366642317958224,33.546899832969096,25.54812746007387,-15.645570215754711,27.111764428861715,29.958148876262225,1.6500627956668612,1.6500627956668612,acceptable,
WQC2HV,102,66,103,108,57,104,33.35183632842266,22.336384539983793,-15.366642317958224,32.06581313781942,30.005141310645328,-17.91608258351016,27.111764428861715,34.94702448293632,3.711440176998455,3.711440176998455,unacceptable,
G566JJ,102,66,103,87,61,116,33.35183632842266,22.336384539983793,-15.366642317958224,30.93694267439963,23.461846864580473,-27.481248196190013,27.111764428861715,36.134156427369675,7.102062039121208,7.102062039121208,,
G566JJ,255,146,29,238,121,36,70.80941305884126,34.08392033819213,71.39756455325875,63.3290143628724,40.15973103651127,62.35870808335735,79.11590137107065,74.17150713549175,8.345880746337441,8.345880746337441,,
G566JJ,255,146,29,253,154,35,70.80941305884126,34.08392033819213,71.39756455325875,72.30817663070376,29.264092568781873,70.82881621039098,79.11590137107065,76.63620762824566,2.7653980502274624,2.7653980502274624,,
J4W7CV,212,147,125,243,130,102,66.78445382652399,21.84109345608626,21.51395502391682,66.50704760754594,40.71687908094429,34.51312908889541,30.657521493568424,53.37621494260339,1.156500910770396,8.155028309972591,identical,spectral
WQC2HV,255,173,59,255,171,25,76.96084570696759,20.890258342526447,66.9294588837105,76.35067374870509,21.053040876152284,76.4785907544932,70.11387423387606,79.32342260597554,2.644909333473799,2.644909333473799,,
WQC2HV,102,66,103,102,68,105,33.35183632842266,22.336384539983793,-15.366642317958224,33.939619892886824,21.539434098915205,-15.729118824932375,27.111764428861715,26.671190455439987,0.7369838134484502,0.7369838134484538,acceptable,
WQC2HV,102,66,103,101,69,98,33.35183632842266,22.336384539983793,-15.366642317958224,33.78443671679919,19.06455678981797,-11.547710511200481,27.111764428861715,22.289166508478612,2.5347716262028617,2.5347716262028617,acceptable,
K0OSWU,190,89,43,188,89,43,49.82046775800619,37.69155945029884,44.42651602746188,49.51175386477537,36.90250572364734,44.01390830872721,58.261213342443696,57.437087785618715,0.4403544868413073,0.4403544868412821,acceptable,
K0OSWU,84,122,122,87,121,121,48.52158487742774,-13.251853607821273,-4.288163592334704,48.361824371470405,-11.99865916869014,-3.9130890252652373,13.928387237499917,12.620621520592524,1.0171431166042977,1.0171431166042975,acceptable,
K0OSWU,203,75,44,204,74,44,49.391055360423195,49.24478569025431,44.178472657557876,49.39873104066068,50.03324365079581,44.241872771312316,66.15728504128373,66.78823830984678,0.3227060294815691,0.32270602948160787,identical,
K0OSWU,111,122,102,111,122,103,49.80726820990873,-8.07701501864977,9.584163623410502,49.83123963076157,-7.892597418944769,9.032406503410396,12.53372905291155,11.994893132512022,0.3887456335517955,0.38874563355177433,identical,
K0OSWU,57,42,22,57,42,21,18.29358099732808,3.990044135694287,15.661561746256043,18.276833328078105,3.8820815206904724,16.28835168485192,16.161836793402504,16.744579945245114,0.4312329574926217,0.4312329574926565,identical,
K0OSWU,190,89,43,191,89,42,49.82046775800619,37.69155945029884,44.42651602746188,49.96666188286011,38.045273724058305,45.11112887014958,58.261213342443696,59.01234447704788,0.2755423553573993,0.2755423553573993,acceptable,
K0OSWU,111,122,102,110,121,101,49.80726820990873,-8.07701501864977,9.584163623410502,49.41013313556458,-8.088119301852048,9.599210410408055,12.53372905291155,12.552390782009539,0.3971493777984472,0.3971493777984483,acceptable,
K0OSWU,195,146,130,196,141,121,64.78207074566784,16.270311804720773,15.682433296584009,63.48123525259123,18.30259547056806,18.944674582226906,22.597826451334715,26.341710194779168,2.211336299296579,2.211336299296579,,
K0OSWU,195,146,130,194,146,129,64.78207074566784,16.270311804720773,15.682433296584009,64.654680835329,15.745817378145677,16.048989634820842,22.597826451334715,22.48334568529562,0.5645290534937814,0.5645290534937814,acceptable,
0TFA3Q,193,135,115,195,135,116,61.57210568413541,19.704841009162422,19.652894304645073,61.82021040456726,20.62184151679036,19.465346340707978,27.83014577299084,28.35771598185108,0.7020708137795832,0.7020708137795832,acceptable,
N7XKV7,255,146,29,238,151,53,70.80941305884126,34.08392033819213,71.39756455325875,69.87418945194267,25.15725678639552,61.83335843034009,79.11590137107065,66.75516297479584,3.948010474421742,3.9480104744217446,acceptable,
N7XKV7,102,66,103,116,95,113,33.35183632842266,22.336384539983793,-15.366642317958224,42.898444862120506,11.902788497762717,-6.976189296293889,27.111764428861715,13.796506482446848,11.11106176275734,11.11106176275734,,
0TFA3Q,212,147,125,211,146,125,66.78445382652399,21.84109345608626,21.51395502391682,66.43538225949638,21.988796875510808,21.020680416907812,30.657521493568424,30.419996601285895,0.4605788513406123,0.4605788513406123,acceptable,
0TFA3Q,121,135,78,166,123,59,53.96636335789327,-14.852238990012424,28.92129648952334,54.647402036281946,9.743061163986155,40.724941529761196,32.51200383937232,41.8741937647478,19.15617999372786,19.15617999372786,,
NMX3UC,102,66,103,102,65,103,33.35183632842266,22.336384539983793,-15.366642317958224,33.103148793868755,22.94791695307527,-15.748540597231319,27.111764428861715,27.83205747744644,0.3882470241158968,0.3882470241158851,acceptable,
K0OSWU,172,115,104,171,115,106,54.061990584993154,21.090409675429576,15.260711480204892,53.98597751439975,20.930664684773724,13.974277108252231,26.032569891570652,25.166905746329967,0.8404006294165366,0.8404006294165492,acceptable,
K0OSWU,208,101,54,209,101,55,55.05846253440728,39.11551377706313,45.254855642638766,55.217763974449326,39.548963453772735,44.966594320870755,59.81659784106489,59.88418084173497,0.3582988339037196,0.3582988339037196,identical,
K0OSWU,203,75,44,205,75,44,49.391055360423195,49.24478569025431,44.178472657557876,49.733248685566736,49.947842559373846,44.63483379501007,66.15728504128373,66.98548622085362,0.4070575776119838,0.4070575776119801,unacceptable,
GAK0KQ,113,112,62,109,109,63,46.240483270362006,-7.571470596318186,27.848738150857056,45.00810943977983,-7.533201318769778,25.670592286057538,28.859649748150307,26.753101323512222,1.563593035884365,1.563593035884365,acceptable,
N7XKV7,102,66,103,107,74,124,33.35183632842266,22.336384539983793,-15.366642317958224,36.89034348912513,23.896293147598808,-22.98450795391608,27.111764428861715,33.156001448902266,5.12368266244132,5.12368266244132,,
N7XKV7,102,66,103,150,88,110,33.35183632842266,22.336384539983793,-15.366642317958224,45.06791976377354,28.522465988496837,-1.4949129996274735,27.111764428861715,28.56161464170774,13.80898619747856,13.80898619747856,unacceptable,
2Q4ZS1,102,66,103,255,0,0,33.35183632842266,22.336384539983793,-15.366642317958224,53.23896002513146,80.09045298802708,67.2013836595967,27.111764428861715,104.5490632458832,39.15435302141971,39.15435302141971,,
2Q4ZS1,102,66,103,78,150,100,33.35183632842266,22.336384539983793,-15.366642317958224,56.43797500921379,-34.17070396987793,19.58508227226714,27.111764428861715,39.38543458448191,43.93039674335655,43.93039674335655,,
2Q4ZS1,102,66,103,107,64,104,33.35183632842266,22.336384539983793,-15.366642317958224,33.546899832969096,25.54812746007387,-15.645570215754711,27.111764428861715,29.958148876262225,1.6500627956668612,1.6500627956668612,unacceptable,
2Q4ZS1,113,1,105,203,39,38,25.421495162772672,52.44184763395135,-28.922338241705027,44.64700497476877,61.93443202354132,42.59687806910184,59.88863859389493,75.16892902863916,34.82084183226996,34.82084183226996,,
2Q4ZS1,255,102,30,113,1,105,62.390544441822485,55.320042343904305,64.74595227513534,25.421495162772672,52.44184763395135,-28.922338241705027,85.16070350194077,59.88863859389493,60.31133969053775,53.40059226055901,,
2Q4ZS1,102,66,103,104,69,113,33.35183632842266,22.336384539983793,-15.366642317958224,34.78597004187443,23.400508603687282,-19.43487989396795,27.111764428861715,30.418717254417587,2.544733292261849,2.544733292261849,,
2Q4ZS1,255,146,29,146,83,71,70.80941305884126,34.08392033819213,71.39756455325875,42.389601258126575,24.88549090952652,18.413420269737657,79.11590137107065,30.95709456389783,33.53172720076727,33.53172720076727,,
2Q4ZS1,102,66,103,79,66,102,33.35183632842266,22.336384539983793,-15.366642317958224,30.683481811996103,13.907281907091562,-19.064824442141703,27.111764428861715,23.59830546994847,7.064381906113649,7.064381906113649,,
