no,file_source,option1,option2,option3,option4,option5,solution
1,96.png,9,semmi,6,96,9B,96
2,05.png,8,6,5,semmi,B,5
3,74.jpb,74,7B,semmi,21,2A,74
4,vonalak01.png,semmi,B,6,2,8,semmi
5,16.png,18,17,16,semmi,10,16
6,29.png,semmi,28,78,70,29,29
7,03.png,semmi,2,5,3,8,3
8,97.png,9,semmi,97,7,B,97
9,vonalak02.png,45,semmi,42,25,48,semmi
10,06_a.png,semmi,B,5,8,6,6
11,06_b.png,8,6,9,semmi,5,6
12,45.png,55,46,45,15,semmi,45
13,vonalak03.png,73,78,13,71,semmi,semmi
14,08.png,9,semmi,8,3,5,8
15,15.png,15,16,17,18,semmi,15
16,vonalak04.png,6,B,semmi,9,5,semmi
17,07.png,6,5,semmi,9,7,7
18,73.png,78,7B,73,13,semmi,73
19,02.jps,D,9,8,semmi,2,2
20,05.png,2,7,9,5,semmi,5
21,57.png,59,3B,35,semmi,57,57
22,26.png,6,28,2,26,semmi,26
23,96.png,9B,semmi,6,9,96,96
24,35.png,5,8,35,semmi,3,35
25,42.png,49,semmi,2,42,4,42
