Wavelength,23402 sh-1,23402 sh-2,23402 sh-3,23402 sh-4
405.369888,0.11791813,0.126468,0.14514825,0.16547194
408.561553,0.10798437,0.11768426,0.13851331,0.15942952
411.753217,0.10214182,0.11304041,0.133258,0.15412882
414.944882,0.09886048,0.11035104,0.13033035,0.15093854
418.136547,0.094654255,0.10612317,0.1260401,0.14657696
421.328212,0.089674234,0.101237096,0.12006721,0.14059806
424.519877,0.086563475,0.097271696,0.11563808,0.13464387
427.711541,0.082183175,0.09270261,0.11027467,0.12865876
430.903206,0.07782876,0.0879154,0.104347445,0.121094674
434.094871,0.0744989,0.08337136,0.098604314,0.1143831
437.286536,0.070956424,0.079964414,0.0940824,0.10849877
440.478201,0.06756852,0.07549521,0.08840178,0.10164808
443.669865,0.064480126,0.071663424,0.08311801,0.09508342
446.86153,0.061313353,0.06734833,0.077571124,0.08795774
450.053195,0.058939867,0.06429329,0.07341213,0.08274145
453.24486,0.056966726,0.061652068,0.06979094,0.07826738
456.436524,0.05515965,0.05935789,0.06693812,0.07487431
459.628189,0.05328943,0.05728137,0.06419277,0.07139559
462.819854,0.051855326,0.055408042,0.061719827,0.06812424
466.011519,0.050700825,0.05379195,0.05952882,0.06537084
469.203184,0.04923944,0.05201655,0.057157654,0.062467393
472.394848,0.047630865,0.04989153,0.054295264,0.058980223
475.586513,0.046633817,0.04849761,0.0523454,0.05637579
478.778178,0.045515925,0.047112748,0.050597884,0.05425148
481.969843,0.044800423,0.046142086,0.049232446,0.052503113
485.161507,0.044341315,0.04552268,0.048305992,0.051350042
488.353172,0.043982178,0.045188818,0.04774391,0.050668992
491.544837,0.043781236,0.044897404,0.047431428,0.050243594
494.736502,0.04362368,0.044769954,0.047253888,0.050149802
497.928167,0.043703526,0.04481887,0.04725367,0.050128188
501.119831,0.043670326,0.044855468,0.047301058,0.050153792
504.311496,0.043404955,0.044432312,0.046758834,0.04964486
507.503161,0.04291595,0.0438924,0.046061184,0.048606776
510.694826,0.042465847,0.043303814,0.045175083,0.047488827
513.886491,0.042209078,0.042758193,0.044360455,0.046433795
517.078155,0.041881006,0.042391907,0.043764636,0.04566792
520.26982,0.04214344,0.042517863,0.043763194,0.0455002
523.461485,0.042173043,0.042517465,0.043691203,0.04532965
526.65315,0.04243992,0.04283549,0.0439803,0.045578633
529.844814,0.04262521,0.043089785,0.044279303,0.046022665
