Wavelength,21010 sh-1,21010 sh-2,21010 sh-3,21010 sh-4
405.369888,0.101291664,0.105223715,0.12597828,0.14993976
408.561553,0.090642005,0.0943675,0.11082463,0.13378619
411.753217,0.084508374,0.08622695,0.100869365,0.12026779
414.944882,0.0783492,0.08087573,0.09417015,0.11122008
418.136547,0.074425414,0.076694235,0.08788337,0.10322478
421.328212,0.07074722,0.072301395,0.08277701,0.09599437
424.519877,0.06774466,0.0696901,0.07863418,0.090571314
427.711541,0.065870754,0.067017734,0.074786976,0.08588938
430.903206,0.06310929,0.06487344,0.07244928,0.082748435
434.094871,0.061491266,0.06280806,0.069859475,0.07916537
437.286536,0.060553066,0.061702535,0.06862348,0.077392235
440.478201,0.059799302,0.061046023,0.06756693,0.07596967
443.669865,0.059212487,0.0600991,0.06626924,0.0741171
446.86153,0.05857973,0.059293102,0.06489728,0.07238285
450.053195,0.059049226,0.0599055,0.06523155,0.07242752
453.24486,0.059976578,0.060872983,0.06582695,0.07260414
456.436524,0.062725805,0.06339041,0.06815463,0.075166404
459.628189,0.06873339,0.06980263,0.074698836,0.08206514
462.819854,0.081920445,0.083224826,0.088778876,0.09755447
466.011519,0.10081093,0.103173435,0.11055097,0.12226414
469.203184,0.12476598,0.12906267,0.14041269,0.15795943
472.394848,0.15035588,0.15737563,0.1750697,0.2020084
475.586513,0.17508054,0.18619627,0.21301503,0.25402585
478.778178,0.19879876,0.21507162,0.25399053,0.31428882
481.969843,0.22033288,0.24227458,0.29581842,0.38020277
485.161507,0.23896724,0.2670027,0.3370945,0.45125005
488.353172,0.25307748,0.28717515,0.37459096,0.52270216
491.544837,0.26499888,0.30451587,0.40927315,0.5910223
494.736502,0.27353168,0.31784084,0.43805486,0.64736766
497.928167,0.27849293,0.32653812,0.45919746,0.69819725
501.119831,0.28171042,0.3329515,0.47526968,0.7409338
504.311496,0.28278938,0.3363131,0.4845167,0.7715309
507.503161,0.28307793,0.33804342,0.48978272,0.7923992
510.694826,0.2816601,0.33751515,0.49216375,0.8054215
513.886491,0.28038147,0.33706668,0.4945882,0.8155343
517.078155,0.27980918,0.33720872,0.49846292,0.8256648
520.26982,0.2775257,0.33521834,0.49888784,0.82876736
523.461485,0.2751689,0.33285165,0.4978005,0.8302434
526.65315,0.27338633,0.3308334,0.49818853,0.83401126
529.844814,0.27193052,0.32923496,0.4984365,0.8377959
533.036479,0.26976213,0.326859,0.4975438,0.8383426
536.228144,0.26825196,0.3256926,0.49775094,0.8410092
539.419809,0.26665643,0.32401395,0.49810296,0.84431493
542.611474,0.26462945,0.32239783,0.4977839,0.8468692
545.803138,0.26265994,0.32119924,0.497708,0.850039
548.994803,0.26084724,0.31940073,0.49677917,0.85081327
552.186468,0.25767365,0.316087,0.4932091,0.84727305
555.378133,0.25588349,0.31514373,0.49246246,0.8482085
558.569797,0.25540873,0.31604072,0.4945271,0.8535712
561.761462,0.254224,0.31589407,0.49539196,0.8569007
564.953127,0.2525013,0.3147554,0.49490345,0.8582632
568.144792,0.2500221,0.31242794,0.49316338,0.8579185
571.336457,0.24840096,0.31103477,0.49230802,0.85908806
574.528121,0.2473191,0.31066293,0.49287096,0.862438
577.719786,0.24640198,0.31049615,0.4936089,0.86519635
580.911451,0.24595594,0.31038466,0.49432474,0.86713934
584.103116,0.2440183,0.30848458,0.49217227,0.8645453
587.294781,0.24302314,0.3077428,0.49225116,0.8657441
590.486445,0.2420155,0.3070307,0.49209997,0.8665097
593.67811,0.24072747,0.3057717,0.4910177,0.86534166
596.869775,0.2401933,0.30566147,0.4915212,0.86642313
600.06144,0.23875691,0.30439413,0.49042812,0.864831
603.253104,0.23762417,0.30312246,0.48936775,0.86354095
606.444769,0.23570898,0.30135044,0.48739916,0.86089575
609.636434,0.23551212,0.30149847,0.48833552,0.86330324
612.828099,0.23490551,0.301145,0.4882945,0.8639803
616.019764,0.23446494,0.30107734,0.4888979,0.8651742
619.211428,0.23320201,0.29984534,0.4878557,0.86394846
622.403093,0.23218973,0.29907924,0.48754972,0.86404604
625.594758,0.2314379,0.29871386,0.48775738,0.864929
628.786423,0.23041664,0.297837,0.48705396,0.8640796
631.978087,0.23040345,0.29805875,0.48799217,0.8662373
635.169752,0.22963376,0.29768276,0.48797196,0.86638623
638.361417,0.22848342,0.29682106,0.48722503,0.86500555
641.553082,0.22711317,0.2957847,0.48636162,0.8637599
644.744747,0.22616541,0.29479218,0.48542887,0.8621838
647.936411,0.22602002,0.29539108,0.48695502,0.864982
651.128076,0.22540255,0.29522154,0.4873138,0.8655358
654.319741,0.22461581,0.29458874,0.48670927,0.8638658
657.511406,0.22406556,0.2942937,0.48638085,0.86190236
660.70307,0.22385947,0.2945225,0.48669696,0.86111677
663.894735,0.22300424,0.29344872,0.48549998,0.85809135
667.0864,0.22144589,0.2920933,0.4826449,0.8511065
670.278065,0.22085184,0.291958,0.48261657,0.850262
673.46973,0.22021873,0.29157135,0.4824949,0.84968793
676.661394,0.22065711,0.29262117,0.4844333,0.85234314
679.853059,0.22038302,0.29263484,0.48498154,0.8532713
