Wavelength,40012 sh-1,40012 sh-2,40012 sh-3,40012 sh-4
405.369888,0.11537515,0.1290913,0.15511486,0.18203492
408.561553,0.1122084,0.12545517,0.1506202,0.18053427
411.753217,0.10629143,0.12057963,0.14581938,0.17436515
414.944882,0.10326691,0.11885462,0.1444285,0.17365083
418.136547,0.10143846,0.11771787,0.14349091,0.17365626
421.328212,0.101053074,0.11903866,0.14622818,0.17804442
424.519877,0.10061603,0.12014739,0.14806129,0.1813809
427.711541,0.101348326,0.12225054,0.15158391,0.18765973
430.903206,0.10212959,0.12509742,0.15701441,0.19538411
434.094871,0.10291449,0.1284701,0.16250041,0.20410065
437.286536,0.105946735,0.13404223,0.17185494,0.21781746
440.478201,0.108055025,0.13894382,0.18023951,0.23080832
443.669865,0.108845495,0.14189124,0.18587692,0.24014984
446.86153,0.109232046,0.14423878,0.19036588,0.2477181
450.053195,0.11028064,0.14687265,0.1950998,0.25504497
453.24486,0.11037597,0.14828256,0.1976817,0.25938568
456.436524,0.11028449,0.14892349,0.19934116,0.2628624
459.628189,0.10963016,0.14873035,0.19987637,0.26403475
462.819854,0.10943537,0.14925417,0.20091045,0.26581714
466.011519,0.109164804,0.14962755,0.20174685,0.26769432
469.203184,0.10869889,0.14972927,0.20278388,0.26971212
472.394848,0.1095407,0.15152445,0.20574509,0.27434403
475.586513,0.109347165,0.15194239,0.20699604,0.2769052
478.778178,0.110614516,0.15429594,0.21105185,0.2833084
481.969843,0.111160725,0.15605822,0.21447514,0.28880775
485.161507,0.11221102,0.15858,0.21898451,0.29613802
488.353172,0.11383224,0.16216433,0.22537531,0.30613208
491.544837,0.115600586,0.1660323,0.2322609,0.31722438
494.736502,0.11736435,0.16996822,0.23916739,0.3287917
497.928167,0.119675405,0.1748313,0.24747533,0.34250915
501.119831,0.121550426,0.17916565,0.25538367,0.35623834
504.311496,0.12360962,0.18383522,0.26381436,0.3711109
507.503161,0.12559511,0.18823472,0.27217847,0.38572496
510.694826,0.12683432,0.19131686,0.27889726,0.39790726
513.886491,0.12854414,0.19547954,0.28717947,0.41096386
517.078155,0.13065031,0.19993578,0.29618913,0.42526475
520.26982,0.13215272,0.20380317,0.30429706,0.44052023
523.461485,0.13390236,0.20793018,0.3128202,0.45738217
526.65315,0.13510875,0.21135944,0.31994462,0.47450918
529.844814,0.13655137,0.2151833,0.32670712,0.49195245
533.036479,0.13849351,0.21973638,0.33470693,0.5113477
536.228144,0.13976185,0.22336482,0.3422303,0.5286587
539.419809,0.14117363,0.22743806,0.3509992,0.5474351
542.611474,0.14185044,0.23005754,0.3590414,0.5641172
545.803138,0.14280543,0.23316213,0.3670492,0.5812321
548.994803,0.14387903,0.23621558,0.3747002,0.5972654
552.186468,0.14411068,0.23746255,0.3793127,0.6086278
555.378133,0.14460409,0.23908743,0.38473353,0.62112933
558.569797,0.14630121,0.24212117,0.39290056,0.63728625
561.761462,0.14708823,0.24401829,0.39907816,0.6502449
564.953127,0.14763802,0.2456728,0.4040964,0.661367
568.144792,0.14812247,0.24697018,0.40853155,0.67199415
571.336457,0.1481758,0.24795395,0.41206607,0.68089426
574.528121,0.14867212,0.25007057,0.41688728,0.69142514
577.719786,0.14921534,0.2518058,0.4208453,0.69982606
580.911451,0.14945145,0.25311536,0.4236878,0.70589674
584.103116,0.14984699,0.2545037,0.42633688,0.7120281
587.294781,0.14963861,0.25491366,0.42752954,0.71544445
590.486445,0.14992113,0.25612205,0.4298393,0.72058314
593.67811,0.15035589,0.25734302,0.43247226,0.72569394
596.869775,0.15042284,0.25815436,0.43412328,0.72875226
600.06144,0.15073295,0.2586619,0.4352818,0.73111045
603.253104,0.15064988,0.25886518,0.43582258,0.73255485
606.444769,0.15059337,0.2591995,0.43650246,0.7342346
609.636434,0.1506629,0.2598613,0.437667,0.7363503
612.828099,0.15093721,0.26071063,0.43910614,0.7387219
616.019764,0.15134403,0.26198754,0.44123647,0.74194473
619.211428,0.15132917,0.26194888,0.44129685,0.7420463
622.403093,0.15135562,0.2623075,0.4419708,0.7431471
625.594758,0.15144317,0.26286343,0.44275293,0.74444705
628.786423,0.15138547,0.26320213,0.44326502,0.74503326
631.978087,0.15177521,0.2640076,0.4446093,0.7470453
635.169752,0.15205595,0.2648692,0.44595772,0.7488504
638.361417,0.15235189,0.2653066,0.44661358,0.74951917
641.553082,0.15259165,0.26588798,0.4474241,0.75090295
644.744747,0.15251674,0.26601216,0.44736388,0.7505654
647.936411,0.15316994,0.2671665,0.4492487,0.7535088
651.128076,0.15350258,0.267947,0.4504539,0.7552976
654.319741,0.15367897,0.2681266,0.45075294,0.7552822
657.511406,0.15419777,0.2691948,0.4521882,0.756794
660.70307,0.15436903,0.26922575,0.45187113,0.7555795
663.894735,0.15494455,0.2691359,0.45193058,0.7549046
667.0864,0.1551979,0.26983985,0.45196304,0.7541022
670.278065,0.15539034,0.2703804,0.4524829,0.7544176
673.46973,0.15613467,0.27150446,0.45439664,0.7573484
676.661394,0.15682979,0.2732227,0.45677814,0.760671
679.853059,0.15733889,0.2742361,0.45840824,0.76287115
683.044724,0.15777609,0.27491042,0.45976543,0.7649656
686.236389,0.1579019,0.27521303,0.46046534,0.766219
689.428054,0.15862499,0.2767689,0.46309832,0.77077246
692.619718,0.15923588,0.27832502,0.4658277,0.7751622
695.811383,0.15995952,0.27961472,0.46814278,0.77903235
699.003048,0.16086204,0.2814013,0.4710875,0.7836709
702.194713,0.1612342,0.28208724,0.47225454,0.78542215
705.386377,0.16171381,0.28313866,0.47381142,0.78758025
708.578042,0.16267042,0.28470522,0.47631267,0.79129344
711.769707,0.16360521,0.28648618,0.47882837,0.7947203
714.961372,0.1642449,0.28745246,0.4802174,0.7965338
718.153037,0.16445334,0.28769174,0.48051846,0.79649025
721.344701,0.1653869,0.2893614,0.4831401,0.8001795
724.536366,0.16617478,0.2907567,0.48501503,0.8029439
727.728031,0.16712071,0.29240692,0.48757657,0.80652833
730.919696,0.16757305,0.29326102,0.488543,0.80751145
734.11136,0.16823784,0.29452235,0.49015266,0.8094977
737.303025,0.16872247,0.29532793,0.49115226,0.8105567
740.49469,0.16915911,0.29610273,0.49227193,0.81195235
743.686355,0.16934945,0.2967311,0.49293533,0.81247944
746.87802,0.1698315,0.29747763,0.49385703,0.8135423
750.069684,0.17069434,0.29892892,0.49595633,0.8165913
753.261349,0.17153835,0.300226,0.49791873,0.81970644
756.453014,0.17158967,0.2999523,0.4974057,0.8185965
759.644679,0.17241308,0.30135095,0.49965674,0.8216125
762.836344,0.17259207,0.3014563,0.4998813,0.82161134
766.028008,0.17326622,0.30244118,0.5015537,0.8239469
769.219673,0.17297654,0.3020637,0.5006549,0.82159376
772.411338,0.17308216,0.3020727,0.5006912,0.82130647
775.603003,0.17368636,0.30299163,0.5020327,0.82302034
778.794667,0.17395967,0.30325225,0.5024636,0.8232962
781.986332,0.17466505,0.30393702,0.5037663,0.82525694
785.177997,0.17476381,0.30393377,0.5037593,0.82539546
788.369662,0.17465582,0.30367783,0.50349164,0.82493764
791.561327,0.17421232,0.30282062,0.5022484,0.82292944
794.752991,0.17592359,0.30546862,0.5070061,0.8306894
797.944656,0.17572464,0.30517176,0.50692624,0.8302962
801.136321,0.17638773,0.30608556,0.5089584,0.83343685
804.327986,0.17641006,0.3061509,0.50933444,0.8336302
807.51965,0.17558502,0.30497584,0.5072701,0.8298424
810.711315,0.17630167,0.30606583,0.5089424,0.8323774
813.90298,0.17754611,0.30789733,0.5118365,0.8369683
817.094645,0.17695668,0.30696425,0.5102244,0.8333681
820.28631,0.17727964,0.30794764,0.5107791,0.8337295
823.477974,0.17782147,0.30876404,0.5107838,0.8336089
826.669639,0.1776391,0.30899763,0.5098091,0.8315557
829.861304,0.17754036,0.30928978,0.509059,0.83025604
833.052969,0.17782953,0.3100911,0.5095055,0.8307446
836.244634,0.17791286,0.3104593,0.5093259,0.83016795
839.436298,0.17804015,0.31078961,0.5091607,0.82996446
842.627963,0.1784509,0.3115744,0.5099661,0.8309242
845.819628,0.17838408,0.3114708,0.50936323,0.82960665
849.011293,0.17883782,0.3122435,0.5098695,0.8304842
852.202957,0.17908154,0.3124662,0.50943804,0.8301195
855.394622,0.17943189,0.31285536,0.5093882,0.83071
858.586287,0.17975375,0.3133608,0.5089088,0.8310369
861.777952,0.18004422,0.3139114,0.5092108,0.8322397
864.969617,0.18086943,0.31526893,0.51076674,0.83480996
868.161281,0.18131654,0.31594026,0.5120238,0.8364933
871.352946,0.18151401,0.31645453,0.51240265,0.8368292
874.544611,0.18248877,0.31808388,0.51501507,0.8400371
877.736276,0.1823201,0.31777236,0.51569605,0.8378506
880.92794,0.18311955,0.31909648,0.5194462,0.84116143
884.119605,0.18344691,0.31975052,0.5211471,0.8421461
887.31127,0.18314931,0.31938523,0.5208645,0.83987063
890.502935,0.18370014,0.3199343,0.5214448,0.8387336
893.6946,0.18379581,0.32012782,0.5212333,0.83673143
896.886264,0.18351947,0.3196305,0.5198201,0.83116055
900.077929,0.18385155,0.3197503,0.51946396,0.8293809
903.269594,0.18324801,0.31852993,0.5170858,0.82474333
906.461259,0.18226622,0.31688768,0.51412153,0.8188311
909.652923,0.18254055,0.317304,0.5149252,0.81934345
912.844588,0.18287766,0.31816068,0.51604813,0.82201356
916.036253,0.18358384,0.31938675,0.5176505,0.8244057
919.227918,0.18423855,0.32059902,0.5195382,0.8275169
922.419583,0.1848042,0.32131466,0.5205688,0.8298812
925.611247,0.184463,0.32056242,0.5192178,0.8286538
928.802912,0.18478109,0.32076558,0.5195525,0.82940954
931.994577,0.18476124,0.3206027,0.51893926,0.82824624
935.186242,0.18514274,0.32128072,0.52038693,0.83028454
938.377907,0.18610787,0.3227058,0.52326244,0.83466166
941.569571,0.18492788,0.32020563,0.5189086,0.8269011
944.761236,0.18685767,0.32380792,0.5253359,0.8369037
947.952901,0.1865219,0.32302472,0.5240592,0.8344949
951.144566,0.1876581,0.32472512,0.5266419,0.83818954
954.33623,0.18820055,0.3252215,0.52733403,0.8388651
957.527895,0.1887561,0.32593203,0.5283353,0.8401594
960.71956,0.19021684,0.32780382,0.5313531,0.844515
963.911225,0.19038914,0.328418,0.53202635,0.8453094
967.10289,0.19128992,0.32916495,0.5329983,0.8468586
970.294554,0.19024709,0.32754976,0.53018177,0.84270996
973.486219,0.18989895,0.32653305,0.5282595,0.8401187
976.677884,0.19158404,0.3292206,0.53260446,0.8474187
979.869549,0.19233508,0.33016852,0.5334458,0.8481372
983.061213,0.19329599,0.33117482,0.5336785,0.846291
986.252878,0.19115533,0.32658455,0.5253815,0.8322908
989.444543,0.1938818,0.32995662,0.5294579,0.8374313
992.636208,0.19342433,0.3287089,0.52709633,0.83265334
