Wavelength,23330 sh-1,23330 sh-2,23330 sh-3,23330 sh-4
405.369888,0.09149383,0.09169534,0.09939826,0.10973941
408.561553,0.080889896,0.082066536,0.09158654,0.100949496
411.753217,0.074618764,0.07627255,0.084076904,0.09277124
414.944882,0.069809295,0.0719082,0.079057984,0.08664143
418.136547,0.0655162,0.06766316,0.07464086,0.0816763
421.328212,0.0620016,0.06406767,0.07036271,0.07714296
424.519877,0.0596429,0.061728805,0.06776548,0.07415449
427.711541,0.057400316,0.05955118,0.06602183,0.07236926
430.903206,0.055833526,0.05847742,0.064546145,0.0708257
434.094871,0.054324232,0.056899223,0.06258562,0.06895257
437.286536,0.053177837,0.05564661,0.061351534,0.06721303
440.478201,0.052344393,0.05482821,0.060147677,0.066068545
443.669865,0.051795814,0.054371502,0.05963971,0.06512005
446.86153,0.050806254,0.05333731,0.058558162,0.063881524
450.053195,0.050726023,0.053756803,0.059138082,0.064612195
453.24486,0.05067911,0.054044977,0.05974194,0.065799125
456.436524,0.050436005,0.054462936,0.061239567,0.06782108
459.628189,0.04996221,0.054736994,0.062040888,0.069199145
462.819854,0.04931221,0.0543609,0.061788414,0.06872952
466.011519,0.048745338,0.053297326,0.06066107,0.067321025
469.203184,0.047896884,0.052433085,0.059209283,0.06572719
472.394848,0.047770303,0.05190463,0.058268614,0.06439194
475.586513,0.047687434,0.051678814,0.057655428,0.063359916
478.778178,0.048381504,0.052593816,0.05870313,0.06468744
481.969843,0.049617454,0.054340318,0.061108254,0.06785748
485.161507,0.051454943,0.057571664,0.0660378,0.07451909
488.353172,0.0539732,0.062349476,0.07357557,0.085041255
491.544837,0.05662259,0.06808962,0.08308964,0.09850074
494.736502,0.059669513,0.07462702,0.094161995,0.11427723
497.928167,0.06294567,0.0814414,0.10566314,0.13099666
501.119831,0.06606478,0.08839188,0.117570765,0.14835721
504.311496,0.06922365,0.095187254,0.12938787,0.16587847
507.503161,0.072059534,0.10166338,0.14067885,0.18249528
510.694826,0.07458444,0.107683286,0.15128925,0.19856441
513.886491,0.07741142,0.11401084,0.1623603,0.21524784
517.078155,0.08005272,0.119939014,0.17285939,0.2312236
520.26982,0.082882024,0.12611242,0.1834022,0.24736482
523.461485,0.08526344,0.13158068,0.19305235,0.26245973
526.65315,0.087161556,0.13614364,0.20114784,0.2758022
529.844814,0.0894985,0.14125755,0.21020313,0.29014415
533.036479,0.09152484,0.14567453,0.21802221,0.302336
536.228144,0.093217656,0.14935522,0.22482973,0.31286547
539.419809,0.09465168,0.15261944,0.23094052,0.32151747
542.611474,0.0957736,0.15529376,0.23618746,0.32954326
545.803138,0.096682005,0.15767044,0.2409742,0.33702743
548.994803,0.09746421,0.1595853,0.24473038,0.34332576
552.186468,0.098106764,0.1611079,0.24769889,0.34868395
555.378133,0.09821113,0.16180898,0.24919587,0.35316053
558.569797,0.09891631,0.16324617,0.25125322,0.35799214
561.761462,0.0993369,0.1644702,0.25326225,0.36230054
564.953127,0.099536896,0.16525069,0.25444722,0.36541742
568.144792,0.09953596,0.1656558,0.2552696,0.3677618
571.336457,0.099282384,0.165638,0.25524777,0.36947387
574.528121,0.09972409,0.16666105,0.25704348,0.37300584
577.719786,0.10051911,0.16807958,0.25869298,0.37540016
580.911451,0.100852594,0.16859631,0.25904062,0.3752294
584.103116,0.100931354,0.16851002,0.2586142,0.3740112
587.294781,0.10155311,0.16932558,0.25957483,0.37506178
590.486445,0.101995505,0.17010538,0.26069006,0.37603047
593.67811,0.10199025,0.17013532,0.2607693,0.37566918
596.869775,0.10228714,0.17069344,0.2617152,0.376693
600.06144,0.10248085,0.17096837,0.2617111,0.37654594
603.253104,0.102447174,0.17085391,0.2616639,0.3766137
606.444769,0.102159716,0.17044507,0.26144657,0.37623498
609.636434,0.10246271,0.17098801,0.26279187,0.37815115
612.828099,0.10280797,0.17146921,0.2640224,0.37958428
616.019764,0.1030572,0.1718119,0.2647511,0.38022906
619.211428,0.10311698,0.17183155,0.26485544,0.3803234
622.403093,0.10336329,0.17221947,0.26568934,0.38160515
625.594758,0.103608154,0.17247008,0.26655683,0.3829541
628.786423,0.10370618,0.17248861,0.26721868,0.38404056
631.978087,0.10422184,0.1733309,0.26887223,0.38632765
635.169752,0.104721576,0.17407565,0.27039862,0.3884388
638.361417,0.10525779,0.17513284,0.2716654,0.39049864
641.553082,0.10572227,0.17599033,0.2729753,0.39280796
644.744747,0.10606127,0.17657645,0.2742695,0.39489633
647.936411,0.10673965,0.17770933,0.27642548,0.39812618
651.128076,0.10768782,0.17880963,0.27850002,0.40131363
654.319741,0.10843285,0.18013392,0.28099725,0.40486258
657.511406,0.10918558,0.18136081,0.28285214,0.40776467
660.70307,0.10997764,0.18260078,0.28486395,0.4109679
663.894735,0.11093202,0.18489556,0.28645495,0.41346255
667.0864,0.111346364,0.18576805,0.28854242,0.4167038
670.278065,0.111872576,0.18684056,0.29059586,0.42012486
673.46973,0.112614706,0.1879753,0.29298294,0.42433953
676.661394,0.11393213,0.19019291,0.2973535,0.43075585
679.853059,0.11441414,0.19117555,0.29938823,0.4341552
683.044724,0.11517684,0.19294761,0.3022533,0.4388706
686.236389,0.11575536,0.19396055,0.30442652,0.44294548
689.428054,0.11676651,0.19597974,0.30844393,0.44948068
692.619718,0.11738256,0.19748318,0.3113703,0.45461255
695.811383,0.11804634,0.1985333,0.31407532,0.45974758
699.003048,0.11889296,0.20043391,0.31778634,0.466054
702.194713,0.11938513,0.20165133,0.32038933,0.47093952
705.386377,0.1203289,0.20354603,0.32438666,0.47809124
708.578042,0.12096976,0.20484388,0.32716095,0.48313805
711.769707,0.12224604,0.20724143,0.33155826,0.4907232
714.961372,0.12340082,0.20940198,0.33555922,0.49763304
718.153037,0.12417378,0.21083406,0.33820975,0.5028461
721.344701,0.12592463,0.21398619,0.34393838,0.5121772
724.536366,0.12757836,0.21670371,0.34907785,0.5205684
727.728031,0.12931813,0.21984066,0.35441375,0.52913606
730.919696,0.13079727,0.22251032,0.35892734,0.536761
734.11136,0.13240616,0.22548896,0.36386484,0.54493153
737.303025,0.1337889,0.22784203,0.36791846,0.5517399
740.49469,0.13551207,0.23089255,0.37323514,0.56035554
743.686355,0.13737789,0.23428248,0.37878647,0.5693084
746.87802,0.13937104,0.23792045,0.38472095,0.5790437
750.069684,0.14095095,0.24065398,0.3892794,0.58685833
753.261349,0.1426405,0.24347763,0.39443752,0.59558666
756.453014,0.14435512,0.24624413,0.39925703,0.6041707
759.644679,0.14623411,0.2497638,0.4052267,0.61413777
762.836344,0.14757593,0.25206387,0.40961143,0.6217956
766.028008,0.14945248,0.25548437,0.4157209,0.63231474
769.219673,0.15088783,0.25868127,0.4211238,0.6419057
772.411338,0.15205441,0.26067403,0.42514294,0.6496497
775.603003,0.15362358,0.26370642,0.4305917,0.65956354
778.794667,0.15430728,0.2650612,0.43337947,0.66552883
781.986332,0.15526675,0.26712883,0.4372787,0.6736094
785.177997,0.15655836,0.26978335,0.44211298,0.6833144
788.369662,0.15777381,0.27241805,0.4469699,0.692545
791.561327,0.15791112,0.27314296,0.44880128,0.69695693
794.752991,0.16028179,0.2774415,0.4565422,0.7109581
797.944656,0.1608757,0.27908635,0.45965424,0.71703583
801.136321,0.16232786,0.28210145,0.46492076,0.72674215
804.327986,0.16318591,0.28415516,0.4685574,0.7337673
807.51965,0.16381061,0.28618804,0.47137144,0.73936653
810.711315,0.1656443,0.28941354,0.47733513,0.7497553
813.90298,0.1671613,0.2923606,0.48204184,0.7580982
817.094645,0.16669376,0.29209596,0.4815754,0.7578663
820.28631,0.16803336,0.2947489,0.48550898,0.7650075
823.477974,0.16900969,0.2968452,0.4882328,0.770435
826.669639,0.16948691,0.2978234,0.48992893,0.7741075
829.861304,0.17044564,0.29982248,0.49298567,0.7796013
833.052969,0.17127849,0.30138233,0.49572274,0.7849474
836.244634,0.17174534,0.3023236,0.49710277,0.7881354
839.436298,0.17268099,0.30411586,0.50004864,0.79382163
842.627963,0.17328793,0.3052994,0.50173175,0.7971675
845.819628,0.17419553,0.3067144,0.50436634,0.80187494
849.011293,0.1744623,0.30710462,0.50440514,0.80302167
852.202957,0.17557079,0.30890855,0.506724,0.8084046
855.394622,0.17606159,0.30959493,0.50733757,0.8109454
858.586287,0.17738812,0.3120461,0.51041704,0.81751263
861.777952,0.177008,0.3114313,0.5092525,0.8165528
864.969617,0.17854962,0.31408396,0.51331466,0.8235029
868.161281,0.17937715,0.31552416,0.51601505,0.8275409
871.352946,0.18110093,0.31818712,0.5204814,0.83456117
874.544611,0.18179114,0.31936765,0.5230139,0.8374212
877.736276,0.1820618,0.3200044,0.52473277,0.8382436
880.92794,0.18309143,0.32203874,0.5292801,0.8435503
884.119605,0.18448244,0.32409647,0.5330794,0.8491919
887.31127,0.18487862,0.32477683,0.5344076,0.8502192
890.502935,0.18423082,0.3236058,0.5322122,0.84554523
893.6946,0.18479984,0.32461417,0.5333113,0.84664595
896.886264,0.18446636,0.32401055,0.5319339,0.8424501
900.077929,0.18520445,0.32492146,0.533149,0.8448015
903.269594,0.18493114,0.32463172,0.53236437,0.84393376
906.461259,0.18511665,0.3246824,0.5323428,0.843669
909.652923,0.18525615,0.32506907,0.5329654,0.84398973
912.844588,0.1860603,0.32595482,0.5340568,0.847072
916.036253,0.18671533,0.327053,0.5358965,0.8497285
919.227918,0.18669493,0.32696557,0.5353986,0.8485871
922.419583,0.18775025,0.32850462,0.53764206,0.8525841
925.611247,0.18798366,0.32881936,0.5381968,0.85345703
928.802912,0.1881602,0.32901496,0.5381676,0.8536892
931.994577,0.18796065,0.32817677,0.536553,0.8511642
935.186242,0.18973166,0.33097586,0.54125214,0.85760975
938.377907,0.19095722,0.3329845,0.54487085,0.8622874
941.569571,0.19045354,0.33140242,0.5419307,0.8582784
944.761236,0.1926044,0.3350622,0.54824287,0.8669399
947.952901,0.19146563,0.33277968,0.5445623,0.8614346
951.144566,0.19370516,0.33634722,0.55021507,0.86958545
954.33623,0.1950788,0.33814576,0.5527869,0.87350917
957.527895,0.19519357,0.33791628,0.5524756,0.8727659
960.71956,0.19609483,0.33897606,0.5536794,0.8744775
963.911225,0.19688155,0.33975637,0.5543965,0.8755356
967.10289,0.19640543,0.33839235,0.5517938,0.87190044
970.294554,0.19733462,0.3397153,0.5531601,0.87477404
973.486219,0.19718325,0.33927494,0.5523057,0.87378615
976.677884,0.19750789,0.3390061,0.5514032,0.87138325
979.869549,0.19943033,0.3417479,0.5550858,0.8759799
983.061213,0.20158443,0.34350964,0.5560008,0.8757259
986.252878,0.19958994,0.33993873,0.5497208,0.86504227
989.444543,0.20086177,0.3408734,0.55003315,0.86434346
992.636208,0.20069793,0.33918598,0.5462296,0.8576952
995.827873,0.20245416,0.34151664,0.54980206,0.8623974
