Wavelength,23340 sh-1,23340 sh-2,23340 sh-3,23340 sh-4
405.369888,0.08771321,0.09175575,0.11382981,0.13796003
408.561553,0.079084866,0.08348774,0.10063878,0.12289149
411.753217,0.07526848,0.07838378,0.09318672,0.11250203
414.944882,0.07028743,0.07282709,0.08607701,0.10288021
418.136547,0.066436395,0.069386736,0.080697805,0.09524651
421.328212,0.06362597,0.06588458,0.07603617,0.088552706
424.519877,0.061791673,0.063652046,0.07282864,0.08369334
427.711541,0.060190164,0.06258625,0.07073773,0.08076277
430.903206,0.058947697,0.060673412,0.068489216,0.0778707
434.094871,0.057637203,0.059104726,0.06661672,0.07508512
437.286536,0.056179333,0.058180906,0.065279715,0.073392674
440.478201,0.05572083,0.057579335,0.06441388,0.072066434
443.669865,0.05527286,0.057005763,0.06334992,0.07050888
446.86153,0.054691523,0.056278557,0.06212639,0.068666145
450.053195,0.054639548,0.056361716,0.06194663,0.06822079
453.24486,0.054856695,0.056724027,0.062097173,0.067816995
456.436524,0.0550894,0.056943465,0.062027533,0.06763286
459.628189,0.055983324,0.058118083,0.06327706,0.06876605
462.819854,0.05771944,0.06015296,0.06543624,0.0709399
466.011519,0.060217395,0.06295456,0.068765394,0.074351795
469.203184,0.06313177,0.066929765,0.07347223,0.07977636
472.394848,0.06806596,0.07301624,0.08097223,0.08827372
475.586513,0.074023254,0.08113802,0.091384955,0.10074616
478.778178,0.08151743,0.09149663,0.10527604,0.11820966
481.969843,0.090941206,0.10510435,0.124479175,0.14311233
485.161507,0.10100805,0.120917484,0.14816089,0.17536248
488.353172,0.1120277,0.13913979,0.17700325,0.21663654
491.544837,0.12349096,0.15944092,0.21033125,0.26648813
494.736502,0.13468626,0.18028063,0.24590452,0.32245654
497.928167,0.14421177,0.19990748,0.28128,0.38209152
501.119831,0.15305945,0.21841262,0.31606355,0.44386053
504.311496,0.15980147,0.2338305,0.3470718,0.4987419
507.503161,0.16456632,0.24585247,0.3727806,0.54689145
510.694826,0.16804785,0.25535688,0.3934022,0.5937851
513.886491,0.17051518,0.2630656,0.40815306,0.63334787
517.078155,0.17227182,0.26936364,0.419792,0.66747326
520.26982,0.1728661,0.273319,0.4301503,0.6931611
523.461485,0.17359155,0.27695,0.43995014,0.7152836
526.65315,0.1736354,0.27937403,0.44820598,0.7337008
529.844814,0.17311035,0.28075492,0.45372537,0.7475936
533.036479,0.17307158,0.28249013,0.45959103,0.76078373
536.228144,0.1731345,0.28410578,0.46507967,0.77282494
539.419809,0.17261524,0.28423485,0.4685321,0.78211564
542.611474,0.17195833,0.28414163,0.47165978,0.7905415
545.803138,0.17118873,0.28338933,0.47430232,0.7977862
548.994803,0.17029747,0.2826247,0.47530338,0.80187047
552.186468,0.16937312,0.2816747,0.47545198,0.8044324
555.378133,0.16868073,0.28151098,0.47681248,0.8078583
558.569797,0.16836469,0.2821228,0.47961527,0.8134723
561.761462,0.16728756,0.28199708,0.4805482,0.816496
564.953127,0.16638927,0.28184825,0.4812693,0.8198736
568.144792,0.16590646,0.28181332,0.48269215,0.82471454
571.336457,0.16504803,0.28174114,0.48321372,0.82764393
574.528121,0.16450691,0.28228113,0.48422122,0.8308482
577.719786,0.1647588,0.28351834,0.48656112,0.83475703
580.911451,0.16516064,0.28489348,0.48856476,0.8371026
584.103116,0.16498262,0.28539482,0.48882583,0.83666694
587.294781,0.16482352,0.28571665,0.48948652,0.8372542
590.486445,0.16504693,0.28678378,0.4914098,0.840543
593.67811,0.16426976,0.28614953,0.49054646,0.8392338
596.869775,0.16442353,0.28734696,0.4928096,0.84312844
600.06144,0.1641636,0.28711167,0.4927806,0.8433922
603.253104,0.163546,0.28638572,0.4918118,0.84214556
606.444769,0.16291033,0.28589532,0.49137256,0.8420513
609.636434,0.1627952,0.28668907,0.49291143,0.8449251
612.828099,0.16242823,0.28676456,0.49333662,0.8458594
616.019764,0.16216229,0.28727406,0.49429923,0.847303
619.211428,0.16220942,0.2874352,0.49492612,0.8485529
622.403093,0.16147925,0.2867385,0.4938878,0.8471992
