Wavelength,40010 sh-1,40010 sh-2,40010 sh-3,40010 sh-4
405.369888,0.10711737,0.11255111,0.12565781,0.1413483
408.561553,0.098351285,0.10370221,0.1182446,0.13274777
411.753217,0.09159888,0.098009884,0.11147404,0.12664104
414.944882,0.087468095,0.09389889,0.10693255,0.12150433
418.136547,0.08396917,0.09084229,0.10395063,0.118823916
421.328212,0.08129408,0.088288605,0.101452865,0.116456755
424.519877,0.07831264,0.08588015,0.09897737,0.114720404
427.711541,0.07794624,0.08598128,0.10018235,0.11652385
430.903206,0.07765295,0.08670914,0.10090026,0.11842166
434.094871,0.07798947,0.08799966,0.103152774,0.12200573
437.286536,0.07861638,0.08923713,0.10560338,0.12566958
440.478201,0.07980394,0.09211347,0.10969231,0.13179068
443.669865,0.08060296,0.09371257,0.11266936,0.13622147
446.86153,0.080648296,0.09480347,0.11475451,0.13954453
450.053195,0.080953605,0.09588384,0.11657011,0.1421304
453.24486,0.08074875,0.09632828,0.117461674,0.14380889
456.436524,0.07996632,0.09587353,0.117718026,0.1442581
459.628189,0.079583034,0.09579967,0.11779765,0.14467122
462.819854,0.07870117,0.095142104,0.11709717,0.1438942
466.011519,0.0785091,0.0951754,0.117636494,0.14492223
469.203184,0.078288704,0.09548412,0.1181299,0.14595257
472.394848,0.078310765,0.09570299,0.11872036,0.1470772
475.586513,0.078571565,0.09652391,0.11998475,0.14891933
478.778178,0.07896767,0.09751604,0.1217088,0.15168667
481.969843,0.07997996,0.099232666,0.12428144,0.15524893
485.161507,0.08101163,0.10091806,0.12700588,0.15932679
488.353172,0.082680754,0.10387523,0.1313447,0.16574837
491.544837,0.08434475,0.10690065,0.13598768,0.17256631
494.736502,0.08621476,0.11023733,0.14129369,0.18036209
497.928167,0.08838178,0.1140027,0.14709666,0.18902372
501.119831,0.09109723,0.11858992,0.15419212,0.19940774
504.311496,0.09368278,0.12326787,0.16162449,0.21026543
507.503161,0.09618783,0.12788206,0.1688993,0.22100218
510.694826,0.09909674,0.13319442,0.17716846,0.23346782
513.886491,0.10149366,0.1379645,0.18491365,0.24549912
517.078155,0.10465615,0.14372124,0.19420852,0.25990677
520.26982,0.10754775,0.14924684,0.20322193,0.27421787
523.461485,0.11131163,0.15594867,0.21425019,0.2917774
526.65315,0.11450393,0.16207084,0.22489797,0.30934638
529.844814,0.118011214,0.16880916,0.23680097,0.3284006
533.036479,0.121719554,0.17589739,0.2493462,0.34843576
536.228144,0.12540707,0.18328898,0.26268873,0.37036583
539.419809,0.12895046,0.19063269,0.27597913,0.39371526
542.611474,0.13208036,0.19764772,0.2885226,0.41878885
545.803138,0.13503219,0.20452468,0.30049998,0.4436927
548.994803,0.1379733,0.21124,0.31226677,0.46837094
552.186468,0.14026377,0.21689507,0.32338932,0.49113125
555.378133,0.1419654,0.22148104,0.3345606,0.5123867
558.569797,0.14459643,0.22714952,0.34662905,0.53491586
561.761462,0.1466162,0.23187731,0.35729772,0.5549422
564.953127,0.14840949,0.23560166,0.36678573,0.57341933
568.144792,0.1497859,0.2387358,0.37478578,0.5901001
571.336457,0.1504937,0.2405423,0.38168195,0.6047273
574.528121,0.15182045,0.24345817,0.3897153,0.62031186
577.719786,0.15293501,0.24612232,0.3957907,0.6322598
580.911451,0.1534937,0.24806479,0.4002278,0.6411702
584.103116,0.15349533,0.24909315,0.40284774,0.64770764
587.294781,0.15341291,0.24989465,0.40490836,0.6526231
590.486445,0.15372545,0.25114775,0.40765077,0.6578572
593.67811,0.15401506,0.2525437,0.4100291,0.6622789
596.869775,0.15398626,0.25310454,0.4112822,0.66429555
600.06144,0.15391819,0.2532765,0.4116348,0.6652646
603.253104,0.15369527,0.25308794,0.41179168,0.6659874
606.444769,0.1534998,0.25336495,0.4123846,0.66715056
609.636434,0.15371962,0.25447175,0.41399255,0.66976804
612.828099,0.15356463,0.25472087,0.41428456,0.6696686
616.019764,0.15376748,0.25547686,0.41526708,0.67048514
619.211428,0.15381806,0.2556525,0.4155973,0.6708268
622.403093,0.15350816,0.2553708,0.41515124,0.669874
625.594758,0.15330383,0.25547963,0.4152553,0.6699327
628.786423,0.15312168,0.2556653,0.4154171,0.6699514
631.978087,0.1535324,0.25668263,0.41695854,0.6719188
635.169752,0.1536862,0.2574446,0.41795194,0.6728368
638.361417,0.15334079,0.25663915,0.4166138,0.67023057
641.553082,0.15315343,0.25632203,0.4161351,0.66964746
644.744747,0.15325145,0.25687346,0.41692418,0.67088974
647.936411,0.15385975,0.258115,0.41889855,0.6736606
651.128076,0.15413919,0.2584621,0.4196339,0.67439467
654.319741,0.15442404,0.25925842,0.42072812,0.6754768
657.511406,0.15495552,0.26003125,0.421678,0.6764462
660.70307,0.15519007,0.2602832,0.42199916,0.6762843
